"ASV";"Kingdom";"Phylum";"Class";"Order";"Family";"Genus"
"sequence_2958";"Bacteria";"Bacteroidota";"Bacteroidia";"Cytophagales";"Microscillaceae";"Ohtaekwangia"
"sequence_2959";"Bacteria";"Chloroflexi";"Chloroflexia";"Elev-1554";NA;NA
"sequence_2960";"Bacteria";"Actinobacteriota";"Rubrobacteria";"Rubrobacterales";"Rubrobacteriaceae";"Rubrobacter"
"sequence_2961";"Bacteria";"Bdellovibrionota";"Oligoflexia";"0319-6G20";NA;NA
"sequence_2962";"Bacteria";"Bdellovibrionota";"Bdellovibrionia";"Bacteriovoracales";"Bacteriovoracaceae";"Peredibacter"
"sequence_2963";"Bacteria";"Entotheonellaeota";"Entotheonellia";"Entotheonellales";"Entotheonellaceae";NA
"sequence_2964";"Bacteria";"Proteobacteria";"Gammaproteobacteria";"Pseudomonadales";"Pseudomonadaceae";"Pseudomonas"
"sequence_2965";"Bacteria";"Myxococcota";"Polyangia";NA;NA;NA
"sequence_2966";"Bacteria";"Proteobacteria";"Alphaproteobacteria";"Sphingomonadales";"Sphingomonadaceae";"Altererythrobacter"
"sequence_2967";"Bacteria";"Proteobacteria";"Alphaproteobacteria";"Paracaedibacterales";"Paracaedibacteraceae";"Candidatus_Paracaedibacter"
"sequence_2968";"Bacteria";"Bacteroidota";"Bacteroidia";"Sphingobacteriales";"Sphingobacteriaceae";"Pedobacter"
"sequence_2969";"Bacteria";"Proteobacteria";"Alphaproteobacteria";"Sphingomonadales";"Sphingomonadaceae";"Sphingomonas"
"sequence_2970";"Bacteria";"Bacteroidota";"Bacteroidia";"Flavobacteriales";"Flavobacteriaceae";"Flavobacterium"
"sequence_2971";"Bacteria";"Firmicutes";"Desulfitobacteriia";"Desulfitobacteriales";"Desulfitobacteriales_fa";"Candidatus_Dichloromethanomonas"
"sequence_2972";"Bacteria";"Chloroflexi";"Chloroflexia";"Chloroflexales";"Herpetosiphonaceae";"Herpetosiphon"
"sequence_2973";"Bacteria";"Myxococcota";"Myxococcia";"Myxococcales";"Myxococcaceae";"KD3-10"
"sequence_2974";"Bacteria";"Myxococcota";"Polyangia";"Haliangiales";"Haliangiaceae";"Haliangium"
"sequence_2975";"Bacteria";"Actinobacteriota";"Thermoleophilia";"Solirubrobacterales";"67-14";NA
"sequence_2976";"Bacteria";"Actinobacteriota";"Actinobacteria";"Frankiales";"Nakamurellaceae";"Nakamurella"
"sequence_2977";"Bacteria";"Proteobacteria";"Alphaproteobacteria";"Elsterales";NA;NA
"sequence_2978";"Bacteria";"Acidobacteriota";"Acidobacteriae";"Acidobacteriales";NA;NA
"sequence_2979";"Bacteria";"Bacteroidota";"Bacteroidia";"Sphingobacteriales";"KD3-93";NA
"sequence_2980";"Bacteria";"Proteobacteria";"Gammaproteobacteria";"Gammaproteobacteria_Incertae_Sedis";"Unknown_Family";"Candidatus_Ovatusbacter"
"sequence_2981";"Bacteria";"Verrucomicrobiota";"Verrucomicrobiae";"Pedosphaerales";"Pedosphaeraceae";NA
"sequence_2982";"Bacteria";"Proteobacteria";"Gammaproteobacteria";"Burkholderiales";NA;NA
"sequence_2983";"Bacteria";"Actinobacteriota";"Actinobacteria";"Micromonosporales";"Micromonosporaceae";"Krasilnikovia"
"sequence_2984";"Bacteria";"Actinobacteriota";"Actinobacteria";"Propionibacteriales";"Nocardioidaceae";"Nocardioides"
"sequence_2985";"Bacteria";"Chloroflexi";"TK10";NA;NA;NA
"sequence_2986";"Bacteria";"Actinobacteriota";"Thermoleophilia";"Gaiellales";NA;NA
"sequence_2987";"Bacteria";"Verrucomicrobiota";"Verrucomicrobiae";"Pedosphaerales";"Pedosphaeraceae";NA
"sequence_2988";"Bacteria";"Proteobacteria";"Alphaproteobacteria";"Defluviicoccales";"Defluviicoccaceae";"Defluviicoccus"
"sequence_2989";"Bacteria";"Bacteroidota";"Bacteroidia";"Cytophagales";"Microscillaceae";NA
"sequence_2990";"Bacteria";"Proteobacteria";"Alphaproteobacteria";"Sphingomonadales";"Sphingomonadaceae";"Sphingomonas"
"sequence_2991";"Bacteria";"Myxococcota";"Polyangia";"Polyangiales";"BIrii41";NA
"sequence_2992";"Bacteria";"Firmicutes";"Bacilli";"Paenibacillales";"Paenibacillaceae";"Thermobacillus"
"sequence_2993";"Bacteria";"Chloroflexi";NA;NA;NA;NA
"sequence_2994";"Bacteria";"Chloroflexi";NA;NA;NA;NA
"sequence_2995";"Bacteria";"Proteobacteria";"Alphaproteobacteria";"Rhizobiales";"Rhizobiaceae";"Aminobacter"
"sequence_2996";"Bacteria";"Proteobacteria";"Alphaproteobacteria";"Rhizobiales";"Rhodomicrobiaceae";"Rhodomicrobium"
"sequence_2997";"Bacteria";"Myxococcota";"Polyangia";"mle1-27";NA;NA
"sequence_2998";"Bacteria";"Acidobacteriota";"Acidobacteriae";"Acidobacteriales";NA;NA
"sequence_2999";"Bacteria";"Actinobacteriota";"Actinobacteria";"Micromonosporales";"Micromonosporaceae";"Allocatelliglobosispora"
"sequence_3000";"Bacteria";"Firmicutes";"Bacilli";"Bacillales";"Bacillaceae";"Bacillus"
"sequence_3001";"Bacteria";"Chloroflexi";"JG30-KF-CM66";NA;NA;NA
"sequence_3002";"Bacteria";"Chloroflexi";NA;NA;NA;NA
"sequence_3003";"Bacteria";"Chloroflexi";"JG30-KF-CM66";NA;NA;NA
"sequence_3004";"Bacteria";"Proteobacteria";"Gammaproteobacteria";"Xanthomonadales";"Xanthomonadaceae";"Luteimonas"
"sequence_3005";"Bacteria";"Actinobacteriota";"Actinobacteria";"Micrococcales";"Demequinaceae";"Demequina"
"sequence_3006";"Bacteria";"Proteobacteria";"Alphaproteobacteria";"Rhizobiales";"Rhizobiaceae";"Allorhizobium-Neorhizobium-Pararhizobium-Rhizobium"
"sequence_3007";"Bacteria";"Bacteroidota";"Bacteroidia";"Chitinophagales";"Saprospiraceae";NA
"sequence_3008";"Bacteria";"Bdellovibrionota";"Oligoflexia";"Oligoflexales";NA;NA
"sequence_3009";"Bacteria";"Bacteroidota";"Bacteroidia";"Cytophagales";"Microscillaceae";"Ohtaekwangia"
"sequence_3010";"Bacteria";"Bacteroidota";"Bacteroidia";"Sphingobacteriales";"AKYH767";NA
"sequence_3011";"Bacteria";"Bdellovibrionota";"Oligoflexia";"0319-6G20";NA;NA
"sequence_3012";"Bacteria";"Bacteroidota";"Bacteroidia";"Flavobacteriales";"Flavobacteriaceae";NA
"sequence_3013";"Bacteria";"Bacteroidota";"Bacteroidia";"Bacteroidales";"Prolixibacteraceae";"WCHB1-32"
"sequence_3014";"Bacteria";"Armatimonadota";"Fimbriimonadia";"Fimbriimonadales";"Fimbriimonadaceae";NA
"sequence_3015";"Bacteria";"Proteobacteria";"Alphaproteobacteria";"Sphingomonadales";"Sphingomonadaceae";"Sphingomonas"
"sequence_3016";"Bacteria";"Actinobacteriota";"Actinobacteria";"Micromonosporales";"Micromonosporaceae";"Luedemannella"
"sequence_3017";"Bacteria";"Dependentiae";"Babeliae";"Babeliales";NA;NA
"sequence_3018";"Bacteria";"Entotheonellaeota";"Entotheonellia";"Entotheonellales";"Entotheonellaceae";NA
"sequence_3019";"Bacteria";"Bacteroidota";"Bacteroidia";"Bacteroidales";"Bacteroidaceae";"Bacteroides"
"sequence_3020";"Bacteria";"Proteobacteria";"Alphaproteobacteria";"Rhizobiales";"Beijerinckiaceae";"Microvirga"
"sequence_3021";"Bacteria";"Cyanobacteria";"Sericytochromatia";NA;NA;NA
"sequence_3022";"Bacteria";"Chloroflexi";"TK10";NA;NA;NA
"sequence_3023";"Bacteria";"Myxococcota";"Polyangia";"Polyangiales";"Sandaracinaceae";NA
"sequence_3024";"Bacteria";"Actinobacteriota";"Acidimicrobiia";"Microtrichales";NA;NA
"sequence_3025";"Bacteria";"Bacteroidota";"Bacteroidia";"Chitinophagales";"Chitinophagaceae";"Terrimonas"
"sequence_3026";"Bacteria";"Acidobacteriota";"Thermoanaerobaculia";"Thermoanaerobaculales";"Thermoanaerobaculaceae";"Subgroup_10"
"sequence_3027";"Bacteria";"Bacteroidota";"Bacteroidia";"Bacteroidales";"Prolixibacteraceae";"BSV13"
"sequence_3028";"Bacteria";"Bdellovibrionota";"Bdellovibrionia";"Bdellovibrionales";"Bdellovibrionaceae";"OM27_clade"
"sequence_3029";"Bacteria";"Acidobacteriota";"Subgroup_22";NA;NA;NA
"sequence_3030";"Bacteria";"Proteobacteria";"Gammaproteobacteria";"Burkholderiales";"TRA3-20";NA
"sequence_3031";"Bacteria";"Actinobacteriota";"Actinobacteria";"Corynebacteriales";"Nocardiaceae";"Gordonia"
"sequence_3032";"Bacteria";"Nitrospirota";"4-29-1";NA;NA;NA
"sequence_3033";"Bacteria";"Proteobacteria";"Gammaproteobacteria";"Xanthomonadales";"Xanthomonadaceae";"Lysobacter"
