NC_021191.1.cluster009	b'649831\n'
NZ_AAQW01000001.cluster001	b'388272\n'
NZ_LT707062.1.cluster006	b'1855331\n'
NZ_CP012752.1.cluster045	b'860235\n'
NZ_CP013854.1.cluster018	b'1690815\n'
NZ_CP009585.1.cluster011	b'28450\n'
NZ_CP013414.1.cluster001	b'101571\n'
NZ_LT962480.1.cluster010	b'321\n'
NC_008009.1.cluster005	b'204669\n'
NZ_CP013747.1.cluster004	b'121292\n'
NZ_CP025050.1.cluster007	b'287\n'
NZ_CP007242.1.cluster011	b'1292358\n'
NZ_LT963408.1.cluster005	b'251701\n'
NZ_CP013457.1.cluster006	b'1637831\n'
NC_016584.1.cluster001	b'768706\n'
NZ_CP012885.2.cluster007_3	b'222805\n'
NZ_CP017296.1.cluster009_0	b'294\n'
NZ_CP017754.1.cluster006	b'367825\n'
NZ_CP012036.1.cluster011	b'224013\n'
NZ_CP010407.1.cluster023	b'362257\n'
NC_018691.1.cluster003	b'930169\n'
NZ_CP007220.1.cluster014	b'1460372\n'
NZ_CP009128.1.cluster023	b'28450\n'
NC_003155.5.cluster005	b'227882\n'
NZ_CP012999.1.cluster005	b'1560339\n'
NZ_CP014474.1.cluster002	b'61652\n'
NZ_CP009545.1.cluster003	b'28450\n'
NZ_CP015240.1.cluster001	b'562\n'
NZ_CP026089.1.cluster005	b'48296\n'
NZ_CP013446.1.cluster015	b'101571\n'
NZ_CP016559.1.cluster005	b'1901\n'
NZ_CP023405.1.cluster002	b'1737359\n'
NZ_CP016914.1.cluster001	b'305\n'
NZ_CP006870.1.cluster001	b'1416915\n'
NZ_CP010106.1.cluster001	b'180850\n'
NZ_CP014948.1.cluster005	b'287\n'
NZ_CP021748.1.cluster021	b'67267\n'
NZ_CP010681.1.cluster002_0	b'1580596\n'
NZ_CP020392.1.cluster012	b'57975\n'
NC_018681.1.cluster001	b'1133849\n'
NZ_CP005960.1.cluster002	b'1147786\n'
NZ_CP013420.1.cluster003	b'101571\n'
NZ_CP022098.1.cluster012	b'43\n'
NZ_CP014959.1.cluster007	b'36809\n'
NZ_CP027584.1.cluster001	b'562\n'
NZ_AP017605.1.cluster013	b'381\n'
NZ_CP007155.1.cluster018_17	b'1449976\n'
